,type,title,year,month,id,genre
377,movie,Mu zhong wu ren 2,2024.0,2.0,tt30972810,Drama
378,movie,Going South,2024.0,2.0,tt30974961,Drama
379,movie,La Herida,2024.0,2.0,tt30976412,Drama
380,movie,Evidências do Amor,2024.0,4.0,tt30982333,Drama
381,movie,Akash Vani,2024.0,2.0,tt30982518,Drama
382,movie,Memories of a Burning Body,2024.0,5.0,tt30982785,Drama
383,movie,Sehnsucht nach Firdaws,2024.0,1.0,tt30984911,Drama
384,movie,Get Close 2,2024.0,6.0,tt30985567,Drama
385,movie,Ahmad,2024.0,2.0,tt30985611,Drama
386,movie,Father-in-law and Son-in-law,2024.0,2.0,tt30989079,Drama
387,movie,National Theatre Live: Nye,2024.0,4.0,tt30985842,Drama
388,movie,Samandar,2024.0,5.0,tt30985568,Drama
389,movie,Alive in Mo...,2024.0,1.0,tt30985888,Drama
391,movie,Danga,2024.0,3.0,tt30988771,Drama
392,movie,Eating Me Up,2024.0,5.0,tt30990381,Drama
393,movie,Flight 404,2024.0,1.0,tt31013030,Drama
394,movie,Suspended Time,2024.0,6.0,tt31015247,Drama
395,movie,My Favourite Cake,2024.0,7.0,tt31015278,Drama
396,movie,Langue étrangère,2024.0,9.0,tt31015291,Drama
397,movie,Yeohaengjaui pilyo,2024.0,4.0,tt31015344,Drama
398,movie,Demba,2024.0,2.0,tt31015413,Drama
399,movie,Dormir de Olhos Abertos,2024.0,6.0,tt31015461,Drama
400,movie,The Fable,2024.0,2.0,tt31015496,Drama
401,movie,Ivo,2024.0,6.0,tt31016613,Drama
402,movie,Khamyazeye bozorg,2024.0,2.0,tt31016912,Drama
403,movie,Through the Graves the Wind Is Blowing,2024.0,2.0,tt31018975,Drama
404,movie,Tú me abrasas,2024.0,2.0,tt31018983,Drama
405,movie,Mãos no fogo,2024.0,10.0,tt31018048,Drama
406,movie,Pantasya Ni Tami,2024.0,1.0,tt31021897,Drama
407,movie,Dilig,2024.0,1.0,tt31021984,Drama
408,movie,Bonnie,2024.0,2.0,tt31022272,Drama
409,movie,Yasamak Istiyorum,2024.0,,tt31023049,Drama
410,movie,ME: The Story of Mabel Egnomba,2024.0,11.0,tt31024127,Drama
412,movie,Druzyna AA,2024.0,9.0,tt31030671,Drama
413,movie,"Foxy, or the Intolerant Mind Damned to Impotence",2024.0,1.0,tt31031320,Drama
414,movie,Katas,2024.0,2.0,tt31031372,Drama
415,movie,Aakhir Palaayan Kab Tak..?,2024.0,2.0,tt31024654,Drama
416,movie,Mendung tanpo udan,2024.0,2.0,tt31032022,Drama
417,movie,Perjalanan Pembuktian Cinta,2024.0,3.0,tt31032534,Drama
